@relation 'User15-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.InfoGainAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N -1'

@attribute endEmo {Happy,Scared,Neutral,Disgusted,Sad,Surprised}
@attribute dominantEmo {Happy,Scared,Surprised,Disgusted,Neutral,Sad}
@attribute interaction {First,Nth}
@attribute mood {Positive,Neutral,Negative}
@attribute season {Autumn,Winter,Spring,Summer}
@attribute weather {Sunny,Cloudy,Rainy,Stormy,Snowy}
@attribute daytype {Working,Weekend,Holiday}
@attribute time {Evening,Afternoon,Night,Morning}
@attribute social {Partner,Alone,Family}
@attribute decision {Given,Decision}
@attribute location {Home,Friend}
@attribute physical {Healthy,Ill}
@attribute country {Denmark}
@attribute city numeric
@attribute itemID numeric
@attribute age numeric
@attribute sex {Male}
@attribute userID numeric
@attribute rating {1,2,3,4,5}

@data
Happy,Happy,First,Positive,Autumn,Sunny,Working,Evening,Partner,Given,Home,Healthy,Denmark,10,11,30,Male,15,4
Scared,Scared,First,Neutral,Autumn,Cloudy,Weekend,Evening,Partner,Given,Home,Healthy,Denmark,10,214,30,Male,15,3
Scared,Scared,First,Neutral,Autumn,Rainy,Weekend,Afternoon,Partner,Given,Home,Healthy,Denmark,10,215,30,Male,15,2
Happy,Happy,First,Positive,Autumn,Cloudy,Working,Evening,Partner,Given,Home,Healthy,Denmark,10,216,30,Male,15,4
Happy,Happy,First,Neutral,Autumn,Cloudy,Working,Evening,Partner,Decision,Home,Healthy,Denmark,10,99,30,Male,15,5
Neutral,Surprised,First,Neutral,Autumn,Cloudy,Working,Evening,Partner,Given,Home,Healthy,Denmark,10,228,30,Male,15,4
Disgusted,Disgusted,First,Neutral,Autumn,Sunny,Working,Evening,Partner,Decision,Home,Healthy,Denmark,10,229,30,Male,15,2
Neutral,Neutral,First,Neutral,Autumn,Sunny,Working,Evening,Partner,Given,Home,Healthy,Denmark,10,235,30,Male,15,3
Happy,Happy,First,Positive,Autumn,Sunny,Working,Afternoon,Partner,Given,Home,Healthy,Denmark,10,237,30,Male,15,5
Happy,Happy,First,Positive,Autumn,Sunny,Working,Evening,Partner,Decision,Home,Healthy,Denmark,10,166,30,Male,15,4
Happy,Happy,First,Neutral,Autumn,Sunny,Weekend,Evening,Partner,Given,Home,Healthy,Denmark,10,107,30,Male,15,5
