@relation 'User21-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.InfoGainAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N -1'

@attribute endEmo {Happy,Sad,Neutral,Surprised,Scared,Angry}
@attribute dominantEmo {Happy,Neutral,Angry,Surprised,Disgusted,Scared,Sad}
@attribute season {Summer,Autumn,Winter,Spring}
@attribute weather {Sunny,Cloudy,Rainy,Snowy}
@attribute time {Afternoon,Night,Evening,Morning}
@attribute mood {Neutral,Positive,Negative}
@attribute interaction {Nth,First}
@attribute decision {Given,Decision}
@attribute social {Partner,Alone,Friends,Family}
@attribute daytype {Weekend,Working,Holiday}
@attribute location {Home,Public,Friend}
@attribute physical {Ill,Healthy}
@attribute age numeric
@attribute itemID numeric
@attribute country {Denmark}
@attribute sex {Male}
@attribute city numeric
@attribute userID numeric
@attribute rating {1,2,3,4,5}

@data
Happy,Happy,Summer,Sunny,Afternoon,Neutral,Nth,Given,Partner,Weekend,Home,Ill,28,5,Denmark,Male,10,21,3
Happy,Happy,Summer,Sunny,Night,Positive,First,Given,Partner,Weekend,Home,Healthy,28,6,Denmark,Male,10,21,4
Sad,Neutral,Summer,Sunny,Night,Positive,First,Given,Partner,Weekend,Home,Healthy,28,7,Denmark,Male,10,21,3
Neutral,Angry,Summer,Cloudy,Evening,Positive,Nth,Given,Alone,Working,Home,Healthy,28,15,Denmark,Male,10,21,3
Happy,Surprised,Summer,Rainy,Afternoon,Neutral,Nth,Given,Alone,Weekend,Home,Healthy,28,29,Denmark,Male,10,21,4
Sad,Disgusted,Summer,Cloudy,Evening,Positive,Nth,Given,Alone,Weekend,Home,Healthy,28,30,Denmark,Male,10,21,4
Happy,Happy,Summer,Rainy,Afternoon,Neutral,First,Given,Friends,Weekend,Home,Healthy,28,38,Denmark,Male,10,21,5
Happy,Happy,Summer,Sunny,Evening,Neutral,Nth,Given,Alone,Working,Home,Healthy,28,43,Denmark,Male,10,21,3
Sad,Happy,Summer,Sunny,Night,Neutral,Nth,Given,Alone,Working,Home,Healthy,28,45,Denmark,Male,10,21,5
Happy,Neutral,Autumn,Sunny,Evening,Positive,First,Given,Partner,Working,Home,Ill,28,64,Denmark,Male,10,21,3
Sad,Neutral,Autumn,Rainy,Afternoon,Negative,First,Decision,Alone,Weekend,Home,Healthy,28,54,Denmark,Male,10,21,4
Happy,Neutral,Autumn,Cloudy,Evening,Neutral,First,Given,Alone,Weekend,Home,Healthy,28,74,Denmark,Male,10,21,5
