@relation 'User25-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.InfoGainAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N -1'

@attribute endEmo {Sad,Surprised,Neutral,Happy,Disgusted,Scared,Angry}
@attribute dominantEmo {Sad,Scared,Angry,Happy,Surprised,Disgusted,Neutral}
@attribute daytype {Working,Weekend,Holiday}
@attribute time {Night,Afternoon,Evening,Morning}
@attribute season {Summer,Autumn,Winter,Spring}
@attribute social {Alone,Partner,Friends}
@attribute decision {Given,Decision}
@attribute weather {Rainy,Sunny,Cloudy,Snowy,Stormy}
@attribute mood {Positive,Negative,Neutral}
@attribute location {Home,Public}
@attribute physical {Healthy,Ill}
@attribute interaction {First,Nth}
@attribute country {UK}
@attribute city numeric
@attribute itemID numeric
@attribute age numeric
@attribute sex {Male}
@attribute userID numeric
@attribute rating {1,2,3,4,5}

@data
Sad,Sad,Working,Night,Summer,Alone,Given,Rainy,Positive,Home,Healthy,First,UK,20,9,27,Male,25,4
Surprised,Scared,Weekend,Afternoon,Summer,Partner,Decision,Sunny,Negative,Home,Healthy,First,UK,20,47,27,Male,25,5
Neutral,Angry,Weekend,Afternoon,Summer,Partner,Decision,Cloudy,Neutral,Home,Healthy,First,UK,20,48,27,Male,25,2
Happy,Happy,Working,Night,Summer,Alone,Decision,Sunny,Negative,Home,Healthy,First,UK,20,59,27,Male,25,2
Sad,Surprised,Working,Night,Summer,Partner,Decision,Sunny,Negative,Home,Healthy,First,UK,20,60,27,Male,25,3
Happy,Surprised,Weekend,Afternoon,Autumn,Partner,Decision,Rainy,Negative,Home,Ill,First,UK,20,66,27,Male,25,4
Disgusted,Scared,Weekend,Afternoon,Autumn,Alone,Decision,Sunny,Neutral,Home,Healthy,First,UK,20,121,27,Male,25,2
Sad,Sad,Working,Evening,Autumn,Alone,Given,Cloudy,Positive,Home,Healthy,First,UK,20,126,27,Male,25,4
Disgusted,Disgusted,Weekend,Evening,Autumn,Partner,Decision,Cloudy,Negative,Home,Healthy,First,UK,20,99,27,Male,25,1
Sad,Sad,Working,Evening,Autumn,Partner,Decision,Sunny,Positive,Home,Healthy,First,UK,20,102,27,Male,25,3
Happy,Happy,Holiday,Morning,Autumn,Alone,Decision,Sunny,Neutral,Home,Ill,First,UK,20,68,27,Male,25,3
Happy,Happy,Weekend,Morning,Autumn,Alone,Given,Sunny,Positive,Home,Ill,First,UK,20,140,27,Male,25,3
Happy,Happy,Weekend,Evening,Autumn,Partner,Decision,Sunny,Positive,Home,Ill,First,UK,20,145,27,Male,25,4
Neutral,Neutral,Weekend,Morning,Autumn,Alone,Decision,Sunny,Positive,Home,Ill,First,UK,20,83,27,Male,25,3
Happy,Happy,Weekend,Afternoon,Autumn,Alone,Decision,Sunny,Positive,Home,Ill,First,UK,20,147,27,Male,25,4
Happy,Surprised,Weekend,Afternoon,Autumn,Partner,Decision,Sunny,Positive,Home,Ill,First,UK,20,155,27,Male,25,3
Surprised,Surprised,Weekend,Evening,Autumn,Partner,Decision,Sunny,Positive,Home,Ill,First,UK,20,148,27,Male,25,4
Sad,Angry,Working,Evening,Autumn,Partner,Given,Cloudy,Negative,Home,Healthy,First,UK,20,204,27,Male,25,4
Surprised,Disgusted,Holiday,Afternoon,Autumn,Partner,Decision,Sunny,Positive,Home,Healthy,First,UK,20,253,27,Male,25,3
Neutral,Neutral,Holiday,Evening,Autumn,Alone,Decision,Sunny,Positive,Home,Healthy,First,UK,20,254,27,Male,25,1
Happy,Happy,Holiday,Evening,Autumn,Partner,Decision,Sunny,Positive,Home,Healthy,First,UK,20,255,27,Male,25,4
Happy,Happy,Working,Night,Autumn,Alone,Decision,Sunny,Positive,Home,Healthy,First,UK,20,3510,27,Male,25,4
Sad,Surprised,Weekend,Evening,Autumn,Partner,Given,Sunny,Positive,Home,Healthy,Nth,UK,20,3520,27,Male,25,4
Scared,Scared,Weekend,Morning,Autumn,Alone,Decision,Sunny,Positive,Home,Healthy,First,UK,20,3521,27,Male,25,2
Disgusted,Disgusted,Working,Evening,Autumn,Partner,Decision,Snowy,Positive,Home,Healthy,First,UK,20,3637,27,Male,25,2
Happy,Happy,Working,Evening,Autumn,Partner,Decision,Rainy,Positive,Home,Healthy,First,UK,20,3638,27,Male,25,2
Happy,Happy,Working,Evening,Autumn,Partner,Decision,Sunny,Positive,Home,Healthy,First,UK,20,3639,27,Male,25,4
Surprised,Surprised,Working,Night,Autumn,Alone,Decision,Sunny,Positive,Home,Healthy,First,UK,20,3579,27,Male,25,3
Angry,Surprised,Weekend,Evening,Autumn,Partner,Decision,Sunny,Positive,Home,Healthy,First,UK,20,3521,27,Male,25,2
