@relation 'User31-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.InfoGainAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N -1'

@attribute dominantEmo {Neutral,Happy,Scared,Sad,Disgusted,Surprised,Angry}
@attribute endEmo {Neutral,Sad,Happy,Disgusted,Scared,Surprised}
@attribute mood {Negative,Positive,Neutral}
@attribute time {Afternoon,Night,Evening,Morning}
@attribute social {Alone,Family,Colleagues,Public,Partner,Friends}
@attribute daytype {Working,Weekend,Holiday}
@attribute weather {Rainy,Sunny,Cloudy,Snowy,Stormy}
@attribute season {Summer,Autumn,Winter,Spring}
@attribute physical {Ill,Healthy}
@attribute location {Home,Friend,Public}
@attribute decision {Decision,Given}
@attribute interaction {First,Nth}
@attribute country {UK}
@attribute city numeric
@attribute itemID numeric
@attribute age numeric
@attribute sex {Female}
@attribute userID numeric
@attribute rating {1,2,3,4,5}

@data
Neutral,Neutral,Negative,Afternoon,Alone,Working,Rainy,Summer,Ill,Home,Decision,First,UK,20,3,30,Female,31,3
Happy,Sad,Positive,Night,Alone,Weekend,Rainy,Summer,Healthy,Home,Given,First,UK,20,9,30,Female,31,4
Happy,Happy,Positive,Afternoon,Alone,Weekend,Sunny,Summer,Healthy,Home,Given,Nth,UK,20,27,30,Female,31,4
Happy,Happy,Positive,Afternoon,Alone,Weekend,Rainy,Summer,Healthy,Home,Given,Nth,UK,20,28,30,Female,31,3
Happy,Happy,Positive,Evening,Alone,Weekend,Sunny,Summer,Healthy,Home,Given,First,UK,20,44,30,Female,31,5
Happy,Happy,Positive,Afternoon,Alone,Weekend,Sunny,Summer,Healthy,Home,Given,Nth,UK,20,46,30,Female,31,3
Happy,Happy,Positive,Afternoon,Alone,Weekend,Rainy,Autumn,Healthy,Home,Decision,First,UK,20,76,30,Female,31,5
Happy,Happy,Positive,Afternoon,Alone,Weekend,Rainy,Autumn,Healthy,Home,Decision,First,UK,20,77,30,Female,31,4
Happy,Happy,Positive,Afternoon,Family,Weekend,Sunny,Autumn,Healthy,Friend,Given,Nth,UK,20,110,30,Female,31,4
Scared,Disgusted,Positive,Evening,Family,Weekend,Sunny,Autumn,Healthy,Friend,Given,First,UK,20,113,30,Female,31,3
Happy,Happy,Positive,Night,Family,Weekend,Cloudy,Autumn,Healthy,Friend,Given,First,UK,20,123,30,Female,31,4
Scared,Scared,Positive,Afternoon,Alone,Weekend,Rainy,Autumn,Healthy,Home,Decision,First,UK,20,138,30,Female,31,4
Happy,Happy,Positive,Afternoon,Alone,Weekend,Rainy,Autumn,Healthy,Home,Decision,First,UK,20,174,30,Female,31,4
Happy,Happy,Positive,Afternoon,Alone,Weekend,Rainy,Autumn,Healthy,Home,Decision,First,UK,20,175,30,Female,31,5
Neutral,Surprised,Neutral,Morning,Alone,Weekend,Cloudy,Autumn,Healthy,Home,Given,Nth,UK,20,183,30,Female,31,3
Sad,Happy,Positive,Afternoon,Colleagues,Working,Cloudy,Autumn,Healthy,Public,Given,First,UK,20,185,30,Female,31,4
Happy,Happy,Positive,Night,Alone,Weekend,Cloudy,Autumn,Healthy,Home,Decision,First,UK,20,211,30,Female,31,4
Disgusted,Happy,Positive,Afternoon,Alone,Weekend,Cloudy,Autumn,Healthy,Home,Decision,First,UK,20,212,30,Female,31,4
Happy,Happy,Positive,Afternoon,Alone,Holiday,Sunny,Autumn,Healthy,Home,Decision,First,UK,20,109,30,Female,31,4
Happy,Happy,Positive,Afternoon,Alone,Weekend,Sunny,Autumn,Healthy,Home,Decision,First,UK,20,252,30,Female,31,3
Happy,Happy,Positive,Afternoon,Alone,Weekend,Sunny,Autumn,Healthy,Home,Given,First,UK,20,3513,30,Female,31,2
Happy,Happy,Positive,Afternoon,Alone,Weekend,Sunny,Autumn,Healthy,Home,Given,First,UK,20,2465,30,Female,31,3
Happy,Happy,Positive,Evening,Alone,Weekend,Cloudy,Autumn,Healthy,Home,Decision,First,UK,20,3518,30,Female,31,4
Happy,Happy,Positive,Afternoon,Alone,Weekend,Sunny,Autumn,Healthy,Home,Decision,First,UK,20,164,30,Female,31,5
Sad,Happy,Positive,Afternoon,Alone,Weekend,Sunny,Autumn,Healthy,Home,Decision,First,UK,20,3188,30,Female,31,5
Disgusted,Disgusted,Neutral,Evening,Colleagues,Working,Sunny,Autumn,Healthy,Public,Given,First,UK,20,3557,30,Female,31,2
Disgusted,Scared,Negative,Night,Alone,Weekend,Cloudy,Autumn,Healthy,Home,Decision,First,UK,20,3588,30,Female,31,4
Happy,Happy,Positive,Afternoon,Alone,Weekend,Rainy,Autumn,Healthy,Home,Decision,Nth,UK,20,3589,30,Female,31,3
Sad,Happy,Positive,Afternoon,Alone,Weekend,Rainy,Autumn,Healthy,Home,Decision,Nth,UK,20,3590,30,Female,31,4
Happy,Happy,Positive,Afternoon,Alone,Weekend,Sunny,Autumn,Healthy,Home,Decision,Nth,UK,20,34,30,Female,31,5
Happy,Happy,Positive,Evening,Alone,Working,Rainy,Winter,Healthy,Home,Decision,Nth,UK,20,156,30,Female,31,5
Happy,Neutral,Positive,Night,Alone,Working,Rainy,Winter,Healthy,Home,Decision,Nth,UK,20,157,30,Female,31,5
Happy,Happy,Positive,Morning,Alone,Weekend,Snowy,Winter,Healthy,Home,Given,First,UK,20,3684,30,Female,31,4
Happy,Happy,Positive,Afternoon,Alone,Weekend,Snowy,Winter,Healthy,Home,Decision,First,UK,20,3610,30,Female,31,5
Happy,Happy,Positive,Afternoon,Alone,Holiday,Cloudy,Winter,Healthy,Home,Decision,First,UK,20,3635,30,Female,31,5
Surprised,Happy,Positive,Evening,Alone,Weekend,Sunny,Winter,Ill,Home,Decision,First,UK,20,3579,30,Female,31,5
Neutral,Neutral,Neutral,Evening,Alone,Weekend,Cloudy,Winter,Healthy,Home,Decision,First,UK,20,199,30,Female,31,3
Happy,Happy,Positive,Afternoon,Alone,Weekend,Sunny,Winter,Healthy,Home,Decision,First,UK,20,18,30,Female,31,5
Surprised,Happy,Positive,Afternoon,Alone,Weekend,Cloudy,Winter,Healthy,Home,Decision,First,UK,20,47,30,Female,31,5
Happy,Happy,Positive,Afternoon,Alone,Weekend,Sunny,Winter,Healthy,Home,Decision,First,UK,20,3791,30,Female,31,4
Surprised,Happy,Positive,Evening,Alone,Weekend,Cloudy,Winter,Healthy,Home,Decision,First,UK,20,3545,30,Female,31,4
Happy,Happy,Positive,Afternoon,Alone,Weekend,Rainy,Winter,Healthy,Home,Decision,First,UK,20,38,30,Female,31,4
Sad,Sad,Positive,Night,Public,Working,Snowy,Winter,Healthy,Public,Decision,First,UK,20,3834,30,Female,31,5
Sad,Sad,Positive,Evening,Public,Weekend,Snowy,Winter,Healthy,Public,Decision,First,UK,20,3839,30,Female,31,3
Happy,Happy,Positive,Afternoon,Alone,Weekend,Cloudy,Winter,Ill,Home,Decision,First,UK,20,3840,30,Female,31,4
Happy,Happy,Positive,Evening,Alone,Weekend,Sunny,Winter,Healthy,Home,Decision,First,UK,20,3787,30,Female,31,5
Happy,Happy,Positive,Afternoon,Alone,Weekend,Cloudy,Spring,Healthy,Home,Decision,First,UK,20,3895,30,Female,31,4
Happy,Happy,Positive,Afternoon,Public,Working,Rainy,Spring,Healthy,Public,Given,First,UK,20,3903,30,Female,31,4
Happy,Happy,Positive,Night,Alone,Weekend,Sunny,Spring,Healthy,Home,Decision,First,UK,20,3908,30,Female,31,3
Happy,Happy,Positive,Afternoon,Alone,Working,Sunny,Spring,Healthy,Home,Decision,First,UK,20,3917,30,Female,31,4
Surprised,Happy,Positive,Evening,Alone,Weekend,Sunny,Spring,Healthy,Home,Decision,First,UK,20,3882,30,Female,31,5
Neutral,Neutral,Positive,Evening,Family,Weekend,Sunny,Spring,Healthy,Home,Decision,First,UK,20,3693,30,Female,31,3
Surprised,Happy,Neutral,Evening,Partner,Holiday,Rainy,Spring,Healthy,Home,Decision,Nth,UK,20,3936,30,Female,31,5
Surprised,Happy,Positive,Afternoon,Partner,Holiday,Sunny,Spring,Healthy,Home,Decision,First,UK,20,3937,30,Female,31,4
Angry,Disgusted,Negative,Evening,Friends,Working,Sunny,Spring,Healthy,Public,Given,First,UK,20,3948,30,Female,31,3
Happy,Happy,Positive,Morning,Alone,Weekend,Sunny,Spring,Healthy,Home,Decision,First,UK,20,3949,30,Female,31,5
Happy,Happy,Positive,Afternoon,Alone,Weekend,Rainy,Spring,Ill,Home,Decision,First,UK,20,3703,30,Female,31,4
Angry,Happy,Positive,Evening,Alone,Weekend,Rainy,Spring,Healthy,Home,Decision,First,UK,20,3642,30,Female,31,5
Disgusted,Happy,Positive,Night,Alone,Weekend,Stormy,Spring,Healthy,Home,Decision,First,UK,20,3643,30,Female,31,5
Angry,Happy,Positive,Afternoon,Alone,Weekend,Rainy,Spring,Healthy,Home,Decision,First,UK,20,3644,30,Female,31,5
Happy,Happy,Positive,Afternoon,Alone,Weekend,Sunny,Spring,Healthy,Home,Decision,Nth,UK,20,2248,30,Female,31,4
Neutral,Neutral,Positive,Morning,Alone,Weekend,Sunny,Spring,Healthy,Home,Given,Nth,UK,20,3993,30,Female,31,3
Happy,Happy,Positive,Evening,Alone,Weekend,Sunny,Spring,Ill,Home,Decision,First,UK,20,3926,30,Female,31,5
Surprised,Happy,Positive,Afternoon,Alone,Weekend,Cloudy,Spring,Healthy,Home,Decision,First,UK,20,3722,30,Female,31,4
