@relation 'User50-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.InfoGainAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N -1'

@attribute endEmo {Neutral,Sad,Happy,Angry,Surprised,Disgusted}
@attribute dominantEmo {Neutral,Scared,Angry,Sad,Happy,Surprised,Disgusted}
@attribute social {Public,Alone,Parents,Family,Partner,Friends}
@attribute weather {Cloudy,Sunny,Rainy,Snowy,Stormy}
@attribute season {Autumn,Winter,Spring,Summer}
@attribute decision {Given,Decision}
@attribute time {Evening,Night,Afternoon,Morning}
@attribute mood {Negative,Neutral,Positive}
@attribute physical {Ill,Healthy}
@attribute location {Public,Home,Friend}
@attribute daytype {Working,Weekend,Holiday}
@attribute interaction {First,Nth}
@attribute country {UK}
@attribute city numeric
@attribute itemID numeric
@attribute age numeric
@attribute sex {Female}
@attribute userID numeric
@attribute rating {1,2,3,4,5}

@data
Neutral,Neutral,Public,Cloudy,Autumn,Given,Evening,Negative,Ill,Public,Working,First,UK,21,86,26,Female,50,2
Neutral,Scared,Alone,Cloudy,Autumn,Given,Night,Negative,Ill,Home,Weekend,Nth,UK,21,85,26,Female,50,3
Neutral,Angry,Alone,Cloudy,Autumn,Given,Evening,Neutral,Ill,Home,Weekend,First,UK,21,87,26,Female,50,2
Sad,Sad,Alone,Cloudy,Autumn,Given,Night,Positive,Ill,Home,Working,Nth,UK,21,97,26,Female,50,4
Neutral,Happy,Parents,Cloudy,Autumn,Given,Night,Neutral,Healthy,Home,Weekend,First,UK,21,107,26,Female,50,1
Sad,Sad,Family,Cloudy,Autumn,Decision,Night,Negative,Healthy,Home,Weekend,First,UK,21,117,26,Female,50,5
Happy,Happy,Alone,Sunny,Autumn,Decision,Night,Neutral,Healthy,Home,Weekend,Nth,UK,21,118,26,Female,50,5
Angry,Angry,Family,Sunny,Autumn,Decision,Night,Positive,Ill,Home,Holiday,First,UK,21,119,26,Female,50,2
Sad,Happy,Family,Cloudy,Autumn,Given,Evening,Positive,Healthy,Home,Working,First,UK,21,131,26,Female,50,5
Happy,Scared,Alone,Rainy,Autumn,Decision,Evening,Neutral,Healthy,Home,Working,First,UK,21,132,26,Female,50,4
Sad,Happy,Partner,Cloudy,Autumn,Decision,Evening,Positive,Healthy,Home,Weekend,Nth,UK,21,131,26,Female,50,5
Neutral,Neutral,Partner,Cloudy,Autumn,Decision,Night,Positive,Healthy,Home,Weekend,First,UK,21,39,26,Female,50,3
Happy,Happy,Partner,Sunny,Autumn,Decision,Night,Positive,Healthy,Home,Weekend,First,UK,21,158,26,Female,50,3
Surprised,Happy,Partner,Sunny,Autumn,Decision,Evening,Positive,Healthy,Friend,Working,First,UK,21,159,26,Female,50,3
Happy,Happy,Partner,Rainy,Autumn,Decision,Evening,Positive,Healthy,Home,Working,First,UK,21,196,26,Female,50,5
Happy,Happy,Public,Sunny,Autumn,Given,Afternoon,Positive,Healthy,Public,Weekend,First,UK,21,38,26,Female,50,5
Neutral,Happy,Partner,Rainy,Autumn,Decision,Evening,Positive,Healthy,Home,Working,First,UK,21,3564,26,Female,50,4
Happy,Happy,Family,Sunny,Autumn,Decision,Evening,Positive,Healthy,Home,Weekend,Nth,UK,21,38,26,Female,50,4
Neutral,Angry,Alone,Rainy,Autumn,Decision,Night,Negative,Healthy,Home,Weekend,First,UK,21,3568,26,Female,50,3
Surprised,Happy,Alone,Cloudy,Autumn,Decision,Evening,Positive,Healthy,Home,Working,First,UK,21,3569,26,Female,50,4
Happy,Surprised,Partner,Cloudy,Autumn,Decision,Afternoon,Positive,Healthy,Home,Weekend,First,UK,21,3545,26,Female,50,4
Happy,Surprised,Partner,Rainy,Autumn,Decision,Afternoon,Negative,Healthy,Home,Weekend,First,UK,21,47,26,Female,50,4
Happy,Happy,Alone,Snowy,Autumn,Decision,Evening,Positive,Healthy,Home,Working,First,UK,21,2623,26,Female,50,5
Happy,Happy,Partner,Cloudy,Autumn,Given,Night,Positive,Healthy,Home,Weekend,First,UK,21,3610,26,Female,50,5
