@relation 'User55-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.InfoGainAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N -1'

@attribute endEmo {Disgusted,Neutral,Surprised,Happy,Sad,Angry}
@attribute dominantEmo {Disgusted,Surprised,Sad,Neutral,Happy,Angry,Scared}
@attribute interaction {First,Nth}
@attribute itemID numeric
@attribute daytype {Weekend,Working,Holiday}
@attribute season {Autumn,Winter,Spring,Summer}
@attribute weather {Cloudy,Sunny,Rainy,Snowy}
@attribute time {Night,Morning,Afternoon,Evening}
@attribute decision {Decision,Given}
@attribute social {Partner,Alone,Friends,Family}
@attribute location {Home,Public,Friend}
@attribute mood {Neutral,Negative}
@attribute physical {Healthy,Ill}
@attribute age numeric
@attribute country {UK}
@attribute sex {Female}
@attribute city numeric
@attribute userID numeric
@attribute rating {1,2,3,4,5}

@data
Disgusted,Disgusted,First,115,Weekend,Autumn,Cloudy,Night,Decision,Partner,Home,Neutral,Healthy,28,UK,Female,20,55,4
Neutral,Surprised,First,124,Weekend,Winter,Cloudy,Morning,Given,Partner,Home,Neutral,Healthy,28,UK,Female,20,55,3
Surprised,Surprised,Nth,130,Weekend,Autumn,Cloudy,Night,Decision,Alone,Home,Neutral,Healthy,28,UK,Female,20,55,4
Disgusted,Disgusted,First,135,Working,Autumn,Cloudy,Morning,Decision,Alone,Home,Neutral,Healthy,28,UK,Female,20,55,4
Happy,Surprised,Nth,150,Weekend,Autumn,Sunny,Afternoon,Given,Partner,Home,Neutral,Healthy,28,UK,Female,20,55,5
Sad,Surprised,Nth,151,Weekend,Autumn,Cloudy,Night,Decision,Alone,Home,Neutral,Healthy,28,UK,Female,20,55,5
Happy,Surprised,Nth,152,Weekend,Autumn,Cloudy,Morning,Decision,Partner,Home,Neutral,Healthy,28,UK,Female,20,55,5
Happy,Sad,First,156,Weekend,Autumn,Sunny,Night,Decision,Alone,Home,Neutral,Healthy,28,UK,Female,20,55,4
Happy,Surprised,First,157,Weekend,Autumn,Sunny,Night,Decision,Alone,Home,Neutral,Healthy,28,UK,Female,20,55,3
Surprised,Surprised,Nth,190,Working,Autumn,Rainy,Night,Decision,Alone,Home,Neutral,Healthy,28,UK,Female,20,55,4
Neutral,Disgusted,Nth,191,Working,Autumn,Rainy,Night,Decision,Alone,Home,Neutral,Healthy,28,UK,Female,20,55,5
Neutral,Neutral,First,192,Working,Autumn,Rainy,Night,Decision,Alone,Home,Neutral,Healthy,28,UK,Female,20,55,4
Surprised,Surprised,First,193,Working,Autumn,Rainy,Morning,Decision,Alone,Home,Neutral,Healthy,28,UK,Female,20,55,4
Surprised,Happy,First,194,Working,Autumn,Cloudy,Morning,Decision,Alone,Home,Neutral,Healthy,28,UK,Female,20,55,4
Sad,Surprised,First,79,Working,Autumn,Cloudy,Night,Decision,Alone,Home,Neutral,Healthy,28,UK,Female,20,55,4
Sad,Surprised,Nth,195,Working,Autumn,Cloudy,Night,Decision,Partner,Home,Neutral,Healthy,28,UK,Female,20,55,5
Disgusted,Disgusted,First,217,Weekend,Autumn,Sunny,Evening,Decision,Partner,Home,Neutral,Healthy,28,UK,Female,20,55,5
Neutral,Surprised,Nth,218,Working,Autumn,Cloudy,Morning,Decision,Alone,Home,Neutral,Healthy,28,UK,Female,20,55,4
Surprised,Surprised,First,219,Working,Autumn,Cloudy,Morning,Decision,Alone,Home,Neutral,Healthy,28,UK,Female,20,55,5
Sad,Surprised,First,223,Working,Autumn,Rainy,Morning,Decision,Alone,Home,Neutral,Healthy,28,UK,Female,20,55,5
Happy,Surprised,Nth,172,Working,Autumn,Sunny,Afternoon,Decision,Partner,Home,Neutral,Healthy,28,UK,Female,20,55,5
Surprised,Neutral,Nth,3507,Working,Autumn,Sunny,Afternoon,Given,Alone,Home,Neutral,Healthy,28,UK,Female,20,55,5
Happy,Neutral,Nth,2021,Working,Autumn,Snowy,Afternoon,Decision,Alone,Home,Neutral,Healthy,28,UK,Female,20,55,4
Happy,Sad,Nth,3547,Working,Autumn,Cloudy,Morning,Decision,Alone,Home,Neutral,Healthy,28,UK,Female,20,55,5
Happy,Happy,Nth,3548,Working,Autumn,Sunny,Morning,Decision,Partner,Home,Neutral,Healthy,28,UK,Female,20,55,5
Happy,Happy,First,3549,Working,Autumn,Cloudy,Morning,Decision,Partner,Home,Neutral,Healthy,28,UK,Female,20,55,5
Happy,Neutral,Nth,196,Weekend,Autumn,Sunny,Morning,Decision,Alone,Home,Neutral,Healthy,28,UK,Female,20,55,5
Surprised,Surprised,Nth,62,Weekend,Autumn,Sunny,Morning,Decision,Partner,Home,Neutral,Healthy,28,UK,Female,20,55,5
Happy,Happy,Nth,3552,Working,Autumn,Sunny,Morning,Decision,Alone,Home,Neutral,Healthy,28,UK,Female,20,55,4
Happy,Happy,Nth,3555,Working,Autumn,Sunny,Afternoon,Decision,Alone,Home,Neutral,Healthy,28,UK,Female,20,55,4
Happy,Happy,Nth,3556,Working,Autumn,Sunny,Afternoon,Decision,Alone,Home,Neutral,Healthy,28,UK,Female,20,55,5
Happy,Happy,Nth,3559,Working,Autumn,Cloudy,Afternoon,Decision,Partner,Home,Neutral,Healthy,28,UK,Female,20,55,4
Happy,Happy,Nth,3560,Working,Autumn,Cloudy,Afternoon,Decision,Partner,Home,Neutral,Healthy,28,UK,Female,20,55,5
Surprised,Neutral,First,3563,Working,Autumn,Rainy,Evening,Decision,Alone,Home,Neutral,Healthy,28,UK,Female,20,55,4
Neutral,Neutral,First,3569,Working,Autumn,Rainy,Afternoon,Decision,Partner,Home,Neutral,Healthy,28,UK,Female,20,55,3
Neutral,Surprised,First,3579,Weekend,Autumn,Cloudy,Afternoon,Given,Partner,Home,Neutral,Healthy,28,UK,Female,20,55,4
Neutral,Happy,Nth,3580,Weekend,Autumn,Cloudy,Afternoon,Decision,Partner,Home,Neutral,Healthy,28,UK,Female,20,55,4
Happy,Neutral,Nth,3580,Weekend,Autumn,Cloudy,Afternoon,Decision,Partner,Home,Neutral,Healthy,28,UK,Female,20,55,4
Happy,Sad,Nth,3187,Weekend,Autumn,Cloudy,Evening,Decision,Alone,Home,Neutral,Healthy,28,UK,Female,20,55,4
Neutral,Surprised,Nth,3593,Weekend,Autumn,Rainy,Evening,Given,Partner,Home,Neutral,Healthy,28,UK,Female,20,55,4
Neutral,Neutral,First,3594,Weekend,Autumn,Rainy,Afternoon,Decision,Alone,Home,Neutral,Healthy,28,UK,Female,20,55,3
Sad,Surprised,First,3601,Working,Autumn,Cloudy,Afternoon,Decision,Alone,Home,Neutral,Healthy,28,UK,Female,20,55,4
Happy,Happy,First,166,Working,Autumn,Rainy,Evening,Decision,Partner,Home,Neutral,Healthy,28,UK,Female,20,55,5
Happy,Sad,Nth,3602,Working,Autumn,Cloudy,Evening,Given,Partner,Home,Neutral,Healthy,28,UK,Female,20,55,3
Happy,Happy,Nth,3603,Working,Autumn,Cloudy,Evening,Decision,Alone,Home,Neutral,Healthy,28,UK,Female,20,55,3
Surprised,Surprised,Nth,3543,Working,Autumn,Cloudy,Night,Decision,Alone,Home,Neutral,Healthy,28,UK,Female,20,55,5
Neutral,Neutral,First,3604,Working,Autumn,Cloudy,Afternoon,Decision,Alone,Home,Neutral,Healthy,28,UK,Female,20,55,3
