@relation 'User61-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.InfoGainAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N -1'

@attribute endEmo {Happy,Neutral,Angry,Sad,Scared,Surprised}
@attribute dominantEmo {Neutral,Happy,Scared,Sad,Disgusted}
@attribute weather {Rainy,Sunny,Cloudy,Snowy,Stormy}
@attribute social {Partner,Alone,Parents,Family,Public}
@attribute season {Autumn,Summer,Winter,Spring}
@attribute mood {Positive,Neutral,Negative}
@attribute interaction {First,Nth}
@attribute daytype {Working,Weekend,Holiday}
@attribute time {Evening,Afternoon,Night,Morning}
@attribute location {Public,Home,Friend}
@attribute physical {Healthy,Ill}
@attribute decision {Decision,Given}
@attribute age numeric
@attribute itemID numeric
@attribute country {UK}
@attribute sex {Male}
@attribute city numeric
@attribute userID numeric
@attribute rating {2,3,4,5}

@data
Happy,Neutral,Rainy,Partner,Autumn,Positive,First,Working,Evening,Public,Healthy,Decision,28,47,UK,Male,20,61,5
Happy,Happy,Sunny,Alone,Autumn,Positive,Nth,Working,Afternoon,Public,Healthy,Decision,28,161,UK,Male,20,61,5
Happy,Happy,Sunny,Alone,Summer,Neutral,First,Working,Afternoon,Home,Healthy,Decision,28,3,UK,Male,20,61,4
Neutral,Happy,Sunny,Alone,Summer,Positive,First,Working,Evening,Home,Healthy,Decision,28,163,UK,Male,20,61,2
Happy,Happy,Sunny,Partner,Autumn,Positive,First,Weekend,Night,Home,Healthy,Given,28,65,UK,Male,20,61,4
Neutral,Neutral,Cloudy,Partner,Autumn,Positive,First,Weekend,Evening,Public,Healthy,Decision,28,213,UK,Male,20,61,3
Neutral,Happy,Cloudy,Partner,Autumn,Positive,First,Working,Evening,Home,Healthy,Decision,28,124,UK,Male,20,61,4
Angry,Neutral,Sunny,Partner,Autumn,Positive,First,Weekend,Night,Home,Healthy,Decision,28,16,UK,Male,20,61,3
Neutral,Neutral,Cloudy,Partner,Autumn,Positive,First,Weekend,Evening,Home,Ill,Decision,28,3585,UK,Male,20,61,3
Neutral,Happy,Cloudy,Partner,Autumn,Neutral,Nth,Weekend,Evening,Home,Healthy,Decision,28,3609,UK,Male,20,61,4
