@relation 'User75-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.InfoGainAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N -1'

@attribute dominantEmo {Neutral,Surprised,Scared,Angry,Happy,Sad,Disgusted}
@attribute endEmo {Neutral,Happy,Sad,Disgusted,Surprised,Scared,Angry}
@attribute time {Evening,Morning,Night,Afternoon}
@attribute daytype {Weekend,Working,Holiday}
@attribute mood {Neutral,Positive,Negative}
@attribute interaction {First,Nth}
@attribute season {Autumn,Winter,Spring}
@attribute weather {Cloudy,Sunny,Snowy,Rainy}
@attribute age numeric
@attribute itemID numeric
@attribute city numeric
@attribute sex {Female}
@attribute country {UK}
@attribute location {Home}
@attribute decision {Decision}
@attribute social {Alone}
@attribute physical {Healthy}
@attribute userID numeric
@attribute rating {2,3,4,5}

@data
Neutral,Neutral,Evening,Weekend,Neutral,First,Autumn,Cloudy,63,205,20,Female,UK,Home,Decision,Alone,Healthy,75,3
Surprised,Happy,Morning,Weekend,Positive,First,Autumn,Sunny,63,206,20,Female,UK,Home,Decision,Alone,Healthy,75,5
Scared,Happy,Evening,Weekend,Positive,Nth,Autumn,Sunny,63,207,20,Female,UK,Home,Decision,Alone,Healthy,75,5
Angry,Happy,Evening,Weekend,Positive,First,Autumn,Cloudy,63,208,20,Female,UK,Home,Decision,Alone,Healthy,75,3
Happy,Happy,Night,Weekend,Positive,Nth,Autumn,Cloudy,63,209,20,Female,UK,Home,Decision,Alone,Healthy,75,4
Surprised,Sad,Morning,Weekend,Positive,First,Autumn,Cloudy,63,183,20,Female,UK,Home,Decision,Alone,Healthy,75,5
Scared,Sad,Evening,Weekend,Positive,First,Autumn,Sunny,63,3546,20,Female,UK,Home,Decision,Alone,Healthy,75,5
Happy,Happy,Afternoon,Weekend,Positive,First,Autumn,Sunny,63,3242,20,Female,UK,Home,Decision,Alone,Healthy,75,4
Surprised,Happy,Morning,Weekend,Positive,First,Autumn,Snowy,63,3685,20,Female,UK,Home,Decision,Alone,Healthy,75,5
Happy,Happy,Evening,Weekend,Positive,First,Autumn,Sunny,63,3686,20,Female,UK,Home,Decision,Alone,Healthy,75,4
