@relation LDOS-CoMoDa

@attribute userID numeric
@attribute itemID numeric
@attribute age numeric
@attribute sex {Male,Female}
@attribute city numeric
@attribute country {UK,Denmark,France,US}
@attribute time {Evening,Afternoon,Night,Morning}
@attribute daytype {Weekend,Working,Holiday}
@attribute season {Summer,Autumn,Winter,Spring}
@attribute location {Home,Public,Friend}
@attribute weather {Sunny,Rainy,Cloudy,Stormy,Snowy}
@attribute social {Alone,Partner,Friends,Family,Parents,Public,Colleagues}
@attribute endEmo {Happy,Sad,Neutral,Surprised,Disgusted,Angry,Scared}
@attribute dominantEmo {Happy,Scared,Neutral,Sad,Angry,Disgusted,Surprised}
@attribute mood {Neutral,Positive,Negative}
@attribute physical {Healthy,Ill}
@attribute decision {Decision,Given}
@attribute interaction {First,Nth}
@attribute director numeric
@attribute movieCountry numeric
@attribute movieLanguage numeric
@attribute movieYear numeric
@attribute genre1 numeric
@attribute genre2 numeric
@attribute genre3 numeric
@attribute actor1 numeric
@attribute actor2 numeric
@attribute actor3 numeric
@attribute budget numeric
@attribute rating {1,2,3,4,5}

@data
23,14,33,Male,20,UK,Evening,Weekend,Summer,Home,Sunny,Alone,Happy,Happy,Neutral,Healthy,Decision,First,234,36,9,2007,7,-1,-1,1303,1524,1656,9000000,5
21,5,28,Male,10,Denmark,Afternoon,Weekend,Summer,Home,Sunny,Partner,Happy,Happy,Neutral,Ill,Given,Nth,775,37,9,1998,7,6,10,1636,1539,1402,90000000,3
21,6,28,Male,10,Denmark,Night,Weekend,Summer,Home,Sunny,Partner,Happy,Happy,Positive,Healthy,Given,First,33,37,9,2008,7,10,18,1373,1510,1691,24000000,4
22,13,28,Male,20,UK,Evening,Weekend,Autumn,Public,Rainy,Friends,Happy,Scared,Positive,Healthy,Decision,First,590,37,9,2010,1,14,19,1382,57,1109,60000000,4
21,7,28,Male,10,Denmark,Night,Weekend,Summer,Home,Sunny,Partner,Sad,Neutral,Positive,Healthy,Given,First,488,37,9,2003,3,10,18,98,385,1827,35000000,3
20,12,30,Male,10,Denmark,Evening,Working,Autumn,Home,Sunny,Family,Sad,Sad,Negative,Healthy,Decision,First,161,37,9,2003,10,-1,-1,482,1190,393,-1,5
21,15,28,Male,10,Denmark,Evening,Working,Summer,Home,Cloudy,Alone,Neutral,Angry,Positive,Healthy,Given,Nth,195,37,9,1971,1,8,21,384,93,715,4000000,3
15,11,30,Male,10,Denmark,Evening,Working,Autumn,Home,Sunny,Partner,Happy,Happy,Positive,Healthy,Given,First,346,37,9,2010,7,18,18,862,61,1378,20000000,4
23,18,33,Male,20,UK,Afternoon,Weekend,Summer,Home,Rainy,Alone,Happy,Neutral,Neutral,Healthy,Decision,First,750,37,9,2010,1,3,21,1803,251,1376,82000000,4
26,17,-1,Female,3,France,Night,Working,Autumn,Home,Sunny,Partner,Happy,Happy,Neutral,Healthy,Decision,First,408,36,9,2010,1,7,8,190,558,1657,8000000,5
